n,rho,m_features,target_seed,sample_seed,K,omega,tau_type,tau_value,init_name,dt,T,final_objective_gap,final_normalized_objective_gap,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_objective_bool,min_eig_min_over_time,max_eig_max_over_time,initial_chi,final_chi,initial_volume_error,initial_shape_error,final_volume_error,final_shape_error
3,2.0,12,123,2026,512,0.25,negative,-0.041666666666666664,mean_only,0.01,2.0,0.06963717026248695,0.016346827441514573,inf,inf,inf,True,0.6081604458809553,0.855151115590226,0.842943998668559,0.33730560543591454,6.291263806209225e-16,1.1784412947757829e-15,0.008358718805851423,0.011938585008171092
3,2.0,12,123,2026,512,0.25,negative,-0.041666666666666664,volume_high,0.01,2.0,0.002009686877119332,0.0009474849976347094,0.5,inf,inf,True,0.607514659805515,3.1734111141004635,0.9983916113327795,0.38883544186722907,1.38629436111989,1.6882222790972546e-15,0.0004411715544027288,0.0032880119470382035
3,2.0,12,123,2026,512,0.25,negative,-0.041666666666666664,volume_low,0.01,2.0,0.002012573602677925,0.002204938328660377,0.9,inf,inf,True,0.15204011147023883,0.7948848180848705,0.9999385656984731,0.8753535719865567,1.3862943611198915,1.0573957936060326e-15,0.0015542333522883187,0.004907005734098838
3,2.0,12,123,2026,512,0.25,negative,-0.041666666666666664,shape_only,0.01,2.0,0.004789823035077134,0.00189108352908924,1.5,inf,inf,True,0.09846357555004916,5.240877110652344,0.22801997843156085,0.015604825681907197,1.6283271027835629e-15,2.8284271247461907,0.009343592114863587,0.10482900944882188
3,2.0,12,123,2026,512,0.25,negative,-0.041666666666666664,mixed,0.01,2.0,0.0466449910200466,0.010112117618168076,inf,inf,inf,True,0.28858024980238917,6.36292454953119,0.33993766765676026,0.000538456434340106,0.6931471805599431,2.1213203435596433,0.0026318073569930093,0.03826770744101359
3,2.0,12,123,2026,512,0.25,zero,0.0,mean_only,0.01,2.0,0.07053136126975268,0.01655673238222985,inf,inf,inf,True,0.6081604458809553,0.8369481438479013,0.842943998668559,0.8103620752001155,6.291263806209225e-16,1.1784412947757829e-15,0.016727538118734786,0.012080692704525746
3,2.0,12,123,2026,512,0.25,zero,0.0,volume_high,0.01,2.0,0.0022969654330364797,0.0010829250629367324,0.9,inf,inf,True,0.6197092863917548,3.1734111141004635,0.9983916113327795,0.995649591743129,1.38629436111989,1.6882222790972546e-15,0.0191112798966531,0.002170496087244767
3,2.0,12,123,2026,512,0.25,zero,0.0,volume_low,0.01,2.0,0.004816165091657609,0.005276501189135099,1.8,inf,inf,True,0.15204011147023883,0.748085154857851,0.9999385656984731,0.9991007542372796,1.3862943611198915,1.0573957936060326e-15,0.06556547375617333,0.00916978451537534
3,2.0,12,123,2026,512,0.25,zero,0.0,shape_only,0.01,2.0,0.005312143968216443,0.002097302528481221,1.5,inf,inf,True,0.09846357555004916,5.240877110652344,0.22801997843156085,0.23838239164447014,1.6283271027835629e-15,2.8284271247461907,0.03511017478084636,0.10156096434334345
3,2.0,12,123,2026,512,0.25,zero,0.0,mixed,0.01,2.0,0.03403292599114005,0.007377961555720195,1.9000000000000001,inf,inf,True,0.324399020888295,6.36292454953119,0.33993766765676026,0.1418507231744664,0.6931471805599431,2.1213203435596433,0.008812703297485713,0.02711127905422041
3,2.0,12,123,2026,512,0.25,positive,0.041666666666666664,mean_only,0.01,2.0,0.0718029791777175,0.01685523558726658,inf,inf,inf,True,0.6081604458809553,0.8274905317934558,0.842943998668559,0.8981257575382533,6.291263806209225e-16,1.1784412947757829e-15,0.022525541470481043,0.012273579037025731
3,2.0,12,123,2026,512,0.25,positive,0.041666666666666664,volume_high,0.01,2.0,0.005429506103626025,0.0025597896051974267,1.4000000000000001,inf,inf,True,0.652015807048571,3.1734111141004635,0.9983916113327795,0.9993045672731098,1.38629436111989,1.6882222790972546e-15,0.06827634371635562,0.0026078377028246964
3,2.0,12,123,2026,512,0.25,positive,0.041666666666666664,volume_low,0.01,2.0,0.030998634942696945,0.03396152976982156,inf,inf,inf,True,0.15204011147023883,0.6482875739038104,0.9999385656984731,0.999903693146191,1.3862943611198915,1.0573957936060326e-15,0.21256403849697467,0.014177898388354782
3,2.0,12,123,2026,512,0.25,positive,0.041666666666666664,shape_only,0.01,2.0,0.006226784485194425,0.002458414328234148,1.5,inf,inf,True,0.09846357555004916,5.240877110652344,0.22801997843156085,0.4675345246861133,1.6283271027835629e-15,2.8284271247461907,0.05486161519000685,0.0969172386691709
3,2.0,12,123,2026,512,0.25,positive,0.041666666666666664,mixed,0.01,2.0,0.026472105987638272,0.005738859489383651,1.8,inf,inf,True,0.324399020888295,6.36292454953119,0.33993766765676026,0.8544854639026628,0.6931471805599431,2.1213203435596433,0.034004960874738505,0.020101767700802662
3,2.0,12,123,2026,512,0.5,negative,-0.08333333333333333,mean_only,0.01,2.0,0.07199155694202464,0.016899502868099728,inf,inf,inf,True,0.6081604458809553,0.8402641590423594,0.842943998668559,0.6011635949372242,6.291263806209225e-16,1.1784412947757829e-15,0.017024823494877876,0.018914039155699707
3,2.0,12,123,2026,512,0.5,negative,-0.08333333333333333,volume_high,0.01,2.0,0.002294080931592113,0.001081565138724006,0.9,inf,inf,True,0.6210624524434138,3.1734111141004635,0.9983916113327795,0.9717520737765538,1.38629436111989,1.6882222790972546e-15,0.019137561426901498,0.003054618178990772
3,2.0,12,123,2026,512,0.5,negative,-0.08333333333333333,volume_low,0.01,2.0,0.00481237945916968,0.005272353720361907,1.8,inf,inf,True,0.15204011147023883,0.7478630737482991,0.9999385656984731,0.9992891114122715,1.3862943611198915,1.0573957936060326e-15,0.06554457103864135,0.008686457665075935
3,2.0,12,123,2026,512,0.5,negative,-0.08333333333333333,shape_only,0.01,2.0,0.09523122064604639,0.03759850656275893,inf,inf,inf,True,0.09641664507366697,5.240877110652344,0.22801997843156085,0.06686881371686525,1.6283271027835629e-15,2.8284271247461907,0.14266611701205253,0.6287529505833249
3,2.0,12,123,2026,512,0.5,negative,-0.08333333333333333,mixed,0.01,2.0,0.10009867029527486,0.021700283466943523,inf,inf,inf,True,0.2892854078415843,6.36292454953119,0.33993766765676026,0.009186964997526985,0.6931471805599431,2.1213203435596433,0.02477371037985494,0.2890768748965838
3,2.0,12,123,2026,512,0.5,zero,0.0,mean_only,0.01,2.0,0.07456777094487421,0.01750425067158251,inf,inf,inf,True,0.6081604458809553,0.8231492238194442,0.842943998668559,0.7988210810240725,6.291263806209225e-16,1.1784412947757829e-15,0.02544050862508281,0.019307517826033325
3,2.0,12,123,2026,512,0.5,zero,0.0,volume_high,0.01,2.0,0.014599497580236598,0.006883064763853283,1.8,inf,inf,True,0.6971253638173203,3.1734111141004635,0.9983916113327795,0.9987870059734973,1.38629436111989,1.6882222790972546e-15,0.13092213522456278,0.00822855016925359
3,2.0,12,123,2026,512,0.5,zero,0.0,volume_low,0.01,2.0,0.08513878661575713,0.09327647625653672,inf,inf,inf,True,0.15204011147023883,0.5552705406442887,0.9999385656984731,0.9999958222846264,1.3862943611198915,1.0573957936060326e-15,0.3671117655983503,0.013674990343297165
3,2.0,12,123,2026,512,0.5,zero,0.0,shape_only,0.01,2.0,0.08687134520008133,0.03429792058174731,inf,inf,inf,True,0.09846357555004916,5.240877110652344,0.22801997843156085,0.14014607038717516,1.6283271027835629e-15,2.8284271247461907,0.16736648666764178,0.5793655460269368
3,2.0,12,123,2026,512,0.5,zero,0.0,mixed,0.01,2.0,0.06178581776084746,0.013394481222300457,inf,inf,inf,True,0.324399020888295,6.36292454953119,0.33993766765676026,0.07619618557960392,0.6931471805599431,2.1213203435596433,0.03312756766814641,0.21922422362270472
3,2.0,12,123,2026,512,0.5,positive,0.08333333333333333,mean_only,0.01,2.0,0.0765103475831852,0.017960256637630408,inf,inf,inf,True,0.6081604458809553,0.8151789526711185,0.842943998668559,0.7998481287232502,6.291263806209225e-16,1.1784412947757829e-15,0.025808188120720128,0.019578578629678572
3,2.0,12,123,2026,512,0.5,positive,0.08333333333333333,volume_high,0.01,2.0,0.052187025040953294,0.02460404347585044,inf,inf,inf,True,0.7936784225195086,3.1734111141004635,0.9983916113327795,0.9996436534601703,1.38629436111989,1.6882222790972546e-15,0.2575648158417127,0.012719348229565
3,2.0,12,123,2026,512,0.5,positive,0.08333333333333333,volume_low,0.01,2.0,0.21477913804944215,0.23530804192786595,inf,inf,inf,True,0.15204011147023883,0.43761912379448975,0.9999385656984731,0.9999784702779189,1.3862943611198915,1.0573957936060326e-15,0.6063686171128618,0.015177415823747277
3,2.0,12,123,2026,512,0.5,positive,0.08333333333333333,shape_only,0.01,2.0,0.07809770954544293,0.030833976766869067,inf,inf,inf,True,0.09846357555004916,5.240877110652344,0.22801997843156085,0.1447148445627518,1.6283271027835629e-15,2.8284271247461907,0.15827612878390077,0.545558699882797
3,2.0,12,123,2026,512,0.5,positive,0.08333333333333333,mixed,0.01,2.0,0.05123786033586342,0.011107800835396154,inf,inf,inf,True,0.324399020888295,6.36292454953119,0.33993766765676026,0.4977712553334406,0.6931471805599431,2.1213203435596433,0.10847089172727299,0.1796767427253541
3,2.0,12,123,2026,512,1.0,negative,-0.16666666666666666,mean_only,0.01,2.0,0.0767112580665188,0.018007418936010225,inf,inf,inf,True,0.6081604458809553,0.826173861098151,0.842943998668559,0.8107120684269524,6.291263806209225e-16,1.1784412947757829e-15,0.025736662945405758,0.01873602877984064
3,2.0,12,123,2026,512,1.0,negative,-0.16666666666666666,volume_high,0.01,2.0,0.01459690367519162,0.006881841843933077,1.8,inf,inf,True,0.6980227002453968,3.1734111141004635,0.9983916113327795,0.9979709925976171,1.38629436111989,1.6882222790972546e-15,0.1308988146552075,0.010175649687560902
3,2.0,12,123,2026,512,1.0,negative,-0.16666666666666666,volume_low,0.01,2.0,0.08512873941344701,0.09326546872794748,inf,inf,inf,True,0.15204011147023883,0.5532273269050159,0.9999385656984731,0.9999236425671262,1.3862943611198915,1.0573957936060326e-15,0.3670982920838131,0.008755076550185011
3,2.0,12,123,2026,512,1.0,negative,-0.16666666666666666,shape_only,0.01,2.0,0.34867767765723023,0.1376624164086799,inf,inf,inf,True,0.09648937136938505,5.240877110652344,0.22801997843156085,0.04029467739040659,1.6283271027835629e-15,2.8284271247461907,0.33770074564242886,1.2864566464831673
3,2.0,12,123,2026,512,1.0,negative,-0.16666666666666666,mixed,0.01,2.0,0.2330842309270844,0.05053008064814441,inf,inf,inf,True,0.2891761146336155,6.36292454953119,0.33993766765676026,0.0007085978503675284,0.6931471805599431,2.1213203435596433,0.057933429974352045,0.7112908799573886
3,2.0,12,123,2026,512,1.0,zero,0.0,mean_only,0.01,2.0,0.0801384595591128,0.018811929963606002,inf,inf,inf,True,0.6081604458809553,0.8122876751127835,0.842943998668559,0.7835435012059573,6.291263806209225e-16,1.1784412947757829e-15,0.02429273318176567,0.01899569692166406
3,2.0,12,123,2026,512,1.0,zero,0.0,volume_high,0.01,2.0,0.10784321783940198,0.05084365736912654,inf,inf,inf,True,0.8896632382178868,3.1734111141004635,0.9983916113327795,0.9997328975841011,1.38629436111989,1.6882222790972546e-15,0.36818580767798464,0.01800108875787758
3,2.0,12,123,2026,512,1.0,zero,0.0,volume_low,0.01,2.0,0.32543921030033385,0.35654516559561844,inf,inf,inf,True,0.15204011147023883,0.3724166245805666,0.9999385656984731,0.9999254847097081,1.3862943611198915,1.0573957936060326e-15,0.7633168319913987,0.009352003562438767
3,2.0,12,123,2026,512,1.0,zero,0.0,shape_only,0.01,2.0,0.3015381090245213,0.11905111048842847,inf,inf,inf,True,0.09846357555004916,5.240877110652344,0.22801997843156085,0.016895349357633455,1.6283271027835629e-15,2.8284271247461907,0.2654738271904998,1.1983677766395804
3,2.0,12,123,2026,512,1.0,zero,0.0,mixed,0.01,2.0,0.17031647628636026,0.03692272638190527,inf,inf,inf,True,0.324399020888295,6.36292454953119,0.33993766765676026,0.16235869431626718,0.6931471805599431,2.1213203435596433,0.10503051843596965,0.5938462409063542
3,2.0,12,123,2026,512,1.0,positive,0.16666666666666666,mean_only,0.01,2.0,0.08193417114293977,0.01923346040898312,inf,inf,inf,True,0.6081604458809553,0.8063637736161205,0.842943998668559,0.6904788945892846,6.291263806209225e-16,1.1784412947757829e-15,0.020213120718498408,0.01912089835125107
3,2.0,12,123,2026,512,1.0,positive,0.16666666666666666,volume_high,0.01,2.0,0.24107607334091963,0.1136574883280403,inf,inf,inf,True,1.059112826939169,3.1734111141004635,0.9983916113327795,0.9998993645580451,1.38629436111989,1.6882222790972546e-15,0.5390248761939368,0.023167074550452794
3,2.0,12,123,2026,512,1.0,positive,0.16666666666666666,volume_low,0.01,2.0,0.4758825595871965,0.5213681100550215,inf,inf,inf,True,0.15204011147023883,0.31013972751727575,0.9999385656984731,0.9999371879650005,1.3862943611198915,1.0573957936060326e-15,0.9462524952393793,0.009274024130391842
3,2.0,12,123,2026,512,1.0,positive,0.16666666666666666,shape_only,0.01,2.0,0.2784389873951669,0.10993128118997557,inf,inf,inf,True,0.09846357555004916,5.240877110652344,0.22801997843156085,0.0033208124733314823,1.6283271027835629e-15,2.8284271247461907,0.21141836828337346,1.1532282973627848
3,2.0,12,123,2026,512,1.0,positive,0.16666666666666666,mixed,0.01,2.0,0.169097015198862,0.03665836071952874,inf,inf,inf,True,0.324399020888295,6.36292454953119,0.33993766765676026,0.37786604126338263,0.6931471805599431,2.1213203435596433,0.2184197918077453,0.533839677618546
