family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,log_kappa_factor,current_bound_rate,conjecture_bound_rate,n_seeds,Lambda_hat_mean
additive_index,4,2.0,0.9675933056974071,0.008472694234211145,1.0335633661341173,0.6104391738657383,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.038446851026864
additive_index,4,5.0,0.9380132973054536,0.011843242120702358,1.066237191003223,0.4086079940521099,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.06879573993397478
additive_index,4,10.0,0.9261392916447994,0.017494737067585017,1.0801018908166635,0.3270474069261508,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.0743195526035261
additive_index,4,20.0,0.9181700145658998,0.01783827790110625,1.0894966746011316,0.27266508364737924,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.09735903195034072
additive_index,4,50.0,0.9146797475314304,0.017826176435416875,1.0936585020861114,0.2226493037344366,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.09861693781661907
additive_index,8,2.0,0.947293294769389,0.011335646671229618,1.0557756076737301,0.6235580815393565,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.10304269460624257
additive_index,8,5.0,0.9238695514834285,0.013288700489764254,1.0826066924590407,0.41488118467979884,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.11826415052350896
additive_index,8,10.0,0.9077078103322279,0.009512759125907082,1.1017845882703718,0.333612778246849,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.12823842912952438
additive_index,8,20.0,0.9048098867905328,0.011722669699493399,1.1053713116704746,0.2766379817252635,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.1412387067201167
additive_index,8,50.0,0.8961092219115259,0.01253404164385532,1.1161333632488082,0.22722478335614443,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.14122304279199566
additive_index,16,2.0,0.8647350483129106,0.01832924604207723,1.1569083248835401,0.6832886934855456,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.2602082959102451
additive_index,16,5.0,0.8592710335605626,0.01146183570777909,1.163961596590499,0.44605836032509705,2.6094379124341005,0.21428571428571427,0.0491965649785553,10,0.27891371451575775
additive_index,16,10.0,0.8564220988398954,0.018251358572458905,1.1681303593737167,0.35370182038662235,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.2834325071064634
additive_index,16,20.0,0.8539390198642304,0.012641984651162416,1.1712745035876633,0.2931313770293917,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.26804304655527605
additive_index,16,50.0,0.8513408238707992,0.01622173853415907,1.1749940310625233,0.23920776221203943,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.2714198554950551
additive_index,32,2.0,0.6373692615765765,0.01214335997739282,1.5694753972643336,0.9269574525383483,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.7323752144308024
additive_index,32,5.0,0.637794532089092,0.021168480259768394,1.5694588313539826,0.6014547515675439,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.7194621109560191
additive_index,32,10.0,0.6412709115222245,0.01354672720789065,1.5600326435437306,0.4723671304800331,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.7388022122470976
additive_index,32,20.0,0.6467239877585691,0.018837350796773268,1.5474456761701982,0.38727461457116796,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.7252501527058574
additive_index,32,50.0,0.6268080164555473,0.014834440225285237,1.596189936306043,0.3249557126548748,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.7354867272943721
additive_index,64,2.0,-0.020428174394263275,0.029014537687737773,-5.063194012841556,-2.9904039477342392,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,2.0176088115448474
additive_index,64,5.0,-0.010847823534488344,0.021242484467572445,16.976213716220876,6.50569750494096,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,1.9917335704936072
additive_index,64,10.0,-0.013790878765276427,0.033478648633415174,6.78723096939612,2.055126750191613,3.302585092994046,0.20754716981132074,0.04054578386931515,10,1.9933640634675462
additive_index,64,20.0,-0.00025235691220193424,0.021384079360462594,3.7313035218912645,0.9338222049027485,3.995732273553991,0.20388349514563106,0.0344823648038378,10,2.0146184335565733
additive_index,64,50.0,-0.005091716256948242,0.03907765164168177,-5.106436849783213,-1.0395791803377599,4.912023005428146,0.2015810276679842,0.02879078069520258,10,2.045343359826357
radial_tail,4,2.0,0.9999999999999994,4.4254454704874357e-16,1.0000000000000007,0.5906161091496416,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.12419416521442192
radial_tail,4,5.0,0.9999999999999994,3.09626408413875e-16,1.0000000000000004,0.38322429333725516,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.21430696920830722
radial_tail,4,10.0,0.9999999999999993,4.137556922078788e-16,1.0000000000000007,0.3027931065641141,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.25115578865861893
radial_tail,4,20.0,0.9999999999999994,2.026980648162706e-16,1.0000000000000004,0.2502670177925995,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.2836031936150996
radial_tail,4,50.0,0.9999999999999993,2.7940000073818173e-16,1.0000000000000007,0.20358210840929028,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.3117809586446684
radial_tail,8,2.0,0.9776384631356221,0.009045401314918608,1.0229521681364109,0.6041720293909166,1.6931471805599454,0.23076923076923073,0.06852312846017043,10,0.16240219444900614
radial_tail,8,5.0,0.9992672793421618,0.001589353687151597,1.000735542243033,0.38350617099356105,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.2508954159954981
radial_tail,8,10.0,1.0,2.9373740229761033e-16,1.0,0.3027931065641139,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.2920290354939751
radial_tail,8,20.0,0.9999999999999998,3.644809565937714e-16,1.0000000000000002,0.2502670177925994,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.34676348331585705
radial_tail,8,50.0,1.0,4.053961296325412e-16,1.0,0.20358210840929014,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.36674249890936006
radial_tail,16,2.0,0.9046374341942173,0.011150059682848362,1.105565236317739,0.6529646382850867,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.3327640542139111
radial_tail,16,5.0,0.9174420559645668,0.009638137732251329,1.0900960176858543,0.41775127604741724,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.4144258301674399
radial_tail,16,10.0,0.9287585152350679,0.008082544016160858,1.0767794776922759,0.3260414031349282,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.44144736581779737
radial_tail,16,20.0,0.9398808921861971,0.009213283822456004,1.0640568410319013,0.26629833236686784,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.4908388259685175
radial_tail,16,50.0,0.9369624068793276,0.008993667402919321,1.067366852489722,0.21729679427604537,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.4916396801004265
radial_tail,32,2.0,0.6638375252938932,0.01946988818723141,1.5075728159950414,0.8903967908427595,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.79844101183636
radial_tail,32,5.0,0.699450967603681,0.017232592101162524,1.4304669137025077,0.5481896721459676,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.8732654332819457
radial_tail,32,10.0,0.7012723636372507,0.017559462351026758,1.426787585668697,0.43202144547173643,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.8985258079147842
radial_tail,32,20.0,0.7126057496000378,0.013706034592725345,1.4037652862613195,0.35131615187339493,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.9191906356577201
radial_tail,32,50.0,0.7222996620865376,0.011320048884894508,1.384773725184568,0.28191515464286127,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.9478478473582092
radial_tail,64,2.0,0.003869835887714501,0.027045826473827365,123.24927377374702,72.79300653176936,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,2.07541862785615
radial_tail,64,5.0,0.03803152105956422,0.016719297141351352,32.53106458099945,12.466694235562118,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,2.1504701746302444
radial_tail,64,10.0,0.05279929251480575,0.015366465411997068,20.491263557783494,6.20461335008528,3.302585092994046,0.20754716981132074,0.04054578386931515,10,2.1992569625978766
radial_tail,64,20.0,0.04897771290247945,0.01885239627524966,23.314675786465713,5.834894379880099,3.995732273553991,0.20388349514563106,0.0344823648038378,10,2.2219686704711172
radial_tail,64,50.0,0.04915519323789752,0.01812330464320664,23.170594529876542,4.717118487489031,4.912023005428146,0.2015810276679842,0.02879078069520258,10,2.1870985318916776
random_feature,4,2.0,0.967776514567079,0.009079975563927626,1.0333787120118456,0.6103301141665038,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.04253992225678445
random_feature,4,5.0,0.9384716047075866,0.010760083991221586,1.0656882026838024,0.40839760839134953,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.06579788100142878
random_feature,4,10.0,0.9294577996421364,0.01710182280609967,1.0762281907494264,0.32587447724889457,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.08293886068227045
random_feature,4,20.0,0.9191568045523553,0.018144581033683195,1.0883430140563928,0.27237636046330244,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.09406848672870595
random_feature,4,50.0,0.9116781019003743,0.018892775184836157,1.0973118640480979,0.22339306286544006,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.09637713184588834
random_feature,8,2.0,0.9489436245122931,0.00694671022014418,1.0538542534547424,0.6224232987862398,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.09989250117046704
random_feature,8,5.0,0.9253654718225045,0.005735531840909781,1.0806914549503397,0.4141472191389538,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.1151859981905059
random_feature,8,10.0,0.9057578305226552,0.014003380304694656,1.1042851415181414,0.3343699285328701,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.13845946686838878
random_feature,8,20.0,0.9006220957817126,0.012331641477687408,1.1105307963632574,0.2779292305726729,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.1320090220630582
random_feature,8,50.0,0.8992143055720498,0.016171197428859977,1.1124085606465548,0.2264664801889693,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.14919020155206603
random_feature,16,2.0,0.8653459891124514,0.012827836831632005,1.1558328891575282,0.682653523821408,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.26015169888632855
random_feature,16,5.0,0.8565095685328211,0.013018689047150383,1.1677764514972953,0.44752030540093823,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.2836647804849764
random_feature,16,10.0,0.8571692483071587,0.014127541631251373,1.1669205406414251,0.3533354956142924,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.2731402535611176
random_feature,16,20.0,0.8469488034796736,0.011710264604142363,1.1809070851377075,0.29554209448756524,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.27910923125442144
random_feature,16,50.0,0.853706581019791,0.016887917355549897,1.1717781218001608,0.2385530606239547,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.28031061663648593
random_feature,32,2.0,0.632780027703929,0.016202262252109523,1.5812485312600113,0.9339108551313728,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.7060067659982017
random_feature,32,5.0,0.6469183996471719,0.018151254302968475,1.5468926231082762,0.5928068323592818,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.6989995722598981
random_feature,32,10.0,0.6390716651696942,0.019694377361322134,1.566170094405917,0.47422550829297905,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.7201560037497744
random_feature,32,20.0,0.6314900563616938,0.017532087009802105,1.584641730693559,0.3965835602103803,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.7065597922221187
random_feature,32,50.0,0.6290007314144466,0.01735438864174926,1.5908885289671335,0.32387644097128304,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.7280457705603955
random_feature,64,2.0,-0.014424384181089645,0.015515449064556125,-22.215762547179757,-13.120987237407629,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,2.0168047647231258
random_feature,64,5.0,-0.010410807534108368,0.022083804254297124,-21.499224460476018,-8.23902510116495,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,2.0220676896408376
random_feature,64,10.0,-0.016929517874710066,0.026299540164896378,-224.2879715461557,-67.91285166942404,3.302585092994046,0.20754716981132074,0.04054578386931515,10,2.039015101758158
random_feature,64,20.0,0.0028814971811429667,0.036825509982655213,22.109431281314325,5.533261431864944,3.995732273553991,0.20388349514563106,0.0344823648038378,10,2.02844907871226
random_feature,64,50.0,-0.017214620918936375,0.03011290571350364,385.82697354542995,78.54746875555404,4.912023005428146,0.2015810276679842,0.02879078069520258,10,2.0307174078993464
separable,4,2.0,0.8972791591561503,0.018851653480259342,1.1149198803491331,0.6584896417453886,1.6931471805599454,0.23076923076923073,0.06852312846017043,10,0.0418772261221628
separable,4,5.0,0.7984474628192868,0.034333255756846454,1.2544906629880748,0.48075129782178944,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.07142197489824177
separable,4,10.0,0.7548709793982183,0.042364414582544495,1.3284823704856066,0.40225530397499487,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.08847966740280938
separable,4,20.0,0.7269705279771417,0.04615538496051085,1.380542760553489,0.34550431961888417,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.08770669510161735
separable,4,50.0,0.7124755153929221,0.049709036941906974,1.4097359274400585,0.2869970124085731,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.09941309022462091
separable,8,2.0,0.88937898431685,0.01752300783806509,1.1247731014001743,0.6643091128251458,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.07281580661461078
separable,8,5.0,0.798193906668008,0.03225806112210038,1.2546739724340092,0.4808215464546698,2.6094379124341005,0.21428571428571427,0.0491965649785553,10,0.0986930419153221
separable,8,10.0,0.7554944294766586,0.0383535837242917,1.3266996569200367,0.4017155105963619,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.10553125131382676
separable,8,20.0,0.7303455388122697,0.043261762482542564,1.3735401973133263,0.3437518089998647,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.10919275868779918
separable,8,50.0,0.7103839685413711,0.04392759185846305,1.4125712161575252,0.2875742264636241,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.11867079725287717
separable,16,2.0,0.8295128059107941,0.01852429401832276,1.2060794312033885,0.7123299409827577,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.21941828616168194
separable,16,5.0,0.772349804505109,0.02781264821918452,1.296296761430394,0.49677241035453495,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.20980463178608638
separable,16,10.0,0.7416043953365381,0.03096625232933765,1.3506179665691178,0.4089578098787697,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.2082883192460978
separable,16,20.0,0.7208500352951915,0.03990278925261177,1.3911978458077106,0.34817093602978416,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.20851229865329507
separable,16,50.0,0.7107177094322121,0.03880944370440164,1.4109662718746547,0.2872474885226379,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.2224468099073694
separable,32,2.0,0.6162749960440758,0.01649006604645282,1.6236941763330026,0.9589799368747295,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,0.6687781320901555
separable,32,5.0,0.5928388882139866,0.019266821673306643,1.688400967679589,0.6470362677089481,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,0.675930925935585
separable,32,10.0,0.5584173477314234,0.023358351674576328,1.7935241059486096,0.5430667357378044,3.302585092994046,0.20754716981132074,0.04054578386931515,10,0.6359506866950555
separable,32,20.0,0.5590925237028926,0.01392366403817162,1.7895977181895037,0.4478772839797277,3.995732273553991,0.20388349514563106,0.0344823648038378,10,0.6540998277228542
separable,32,50.0,0.5493023971623916,0.02902000960013261,1.825265997750837,0.371591500229902,4.912023005428146,0.2015810276679842,0.02879078069520258,10,0.6516898116545058
separable,64,2.0,-0.04065330615043354,0.03061036489837061,-1056.7384560515402,-624.1267553019599,1.6931471805599454,0.23076923076923078,0.06852312846017043,10,1.9783456259431063
separable,64,5.0,-0.045777931637920675,0.031004547001187238,-15.537980034890717,-5.954531418759371,2.6094379124341005,0.2142857142857143,0.0491965649785553,10,1.9649835544136507
separable,64,10.0,-0.042382907708939266,0.02253708062972134,-42.2607524943229,-12.796264533493154,3.302585092994046,0.20754716981132074,0.04054578386931515,10,1.9057452208963332
separable,64,20.0,-0.0591127672614852,0.031126430744567734,-26.588134895389196,-6.6541332289363995,3.995732273553991,0.20388349514563106,0.0344823648038378,10,1.9170292256731152
separable,64,50.0,-0.05986460769480275,0.01687898287444087,-17.894721633105387,-3.6430451594649305,4.912023005428146,0.2015810276679842,0.02879078069520258,10,1.921195094594378
