potential_family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,gamma_loc_min,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,Lambda_hat_full_sym_mean,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,current_bound_rate,conjecture_bound_rate,self_adjoint_error_L_star_max,n_seeds
random_feature,3,2.0,0.9566966185866832,0.0067297332656786205,0.9519379785589452,1.0452893029854045,0.6173647010649801,0.08813371880608019,0.04333656530117526,,0.23076923076923078,0.06852312846017043,8.881784197001252e-16,2
random_feature,3,5.0,0.923754874017517,0.005185145043920605,0.9200884227955248,1.0825553205964993,0.414861497734079,0.12437183604203608,0.09988704463172876,,0.2142857142857143,0.0491965649785553,7.04511993784593e-16,2
random_feature,5,2.0,0.9241654127191268,0.018897304611351928,0.910803000482292,1.0822836362876087,0.6392141502605129,0.22960698281328773,0.13211145060145202,,0.23076923076923078,0.06852312846017043,4.440892098500626e-15,2
random_feature,5,5.0,0.8867773889163525,0.011003973465907754,0.8789964046586123,1.12776555808537,0.43218715904736094,0.18543005567823823,0.1274003691325049,,0.2142857142857143,0.0491965649785553,2.6645352591003757e-15,2
random_feature,8,2.0,0.8004890198798047,0.014061131109031304,0.7905462987214555,1.2494291307697234,0.7379329718734323,0.3586295795476783,0.14050052940061164,,0.23076923076923078,0.06852312846017043,3.1086244689504383e-15,2
random_feature,8,5.0,0.7840119496839817,0.055273570309769766,0.7449276332975521,1.2786684978637468,0.4900168315064437,0.2804168903459407,0.09800630260761801,,0.2142857142857143,0.0491965649785553,1.7430932470785375e-15,2
separable,3,2.0,0.8556035200995012,0.03811196483987401,0.8286542913168831,1.1699263077582738,0.6909773238799974,0.022844245166313417,-0.08235413000810368,-0.11294635732241916,0.23076923076923078,0.06852312846017043,4.440892098500626e-16,2
separable,3,5.0,0.7513991964565281,0.004020376188819872,0.7485563611904926,1.3308695550264371,0.5100215447490735,0.007100662814855536,-0.2245786828044883,-0.22583092743827315,0.2142857142857143,0.0491965649785553,8.881784197001252e-16,2
separable,5,2.0,0.8434539173895826,0.005239262949078228,0.83974919902987,1.1856241013500508,0.7002486936534069,0.10626353901798594,-0.04672049030023477,-0.0626901138359374,0.23076923076923078,0.06852312846017043,1.7763568394002505e-15,2
separable,5,5.0,0.7393394453820978,0.004587157173215653,0.7360958354385485,1.3525847347956432,0.5183433291708188,0.0514373888219232,-0.12553954275250187,-0.12489249835026932,0.2142857142857143,0.0491965649785553,1.7763568394002505e-15,2
separable,8,2.0,0.8094612373034409,0.03013916251616739,0.7881496311089755,1.2362465371909481,0.730147119745435,0.32268174131208116,0.09219982432884691,0.005151813973043177,0.23076923076923078,0.06852312846017043,3.9968028886505635e-15,2
separable,8,5.0,0.7011881320095891,0.016723342378310715,0.6893629432097812,1.4265565069973087,0.5466911092997064,0.35150570912942775,0.11149291553867412,0.01028505397008968,0.21428571428571427,0.0491965649785553,5.329070518200751e-15,2
