n,omega,tau_type,tau_value,init_name,dt,T,final_energy,final_normalized_energy,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_energy_bool,min_eig_min_over_time,max_eig_max_over_time
2,0.125,negative,-0.03125,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.125,negative,-0.03125,volume_high,0.1,2.0,0.0,0.0,0.5,0.5,1.0,True,0.9889222076261085,4.0
2,0.125,negative,-0.03125,volume_low,0.1,2.0,0.0,0.0,0.5,0.5,1.0,True,0.25,0.9999999999998048
2,0.125,negative,-0.03125,shape_only,0.1,2.0,1.4205579379478195e-08,5.142857700246876e-09,1.0,1.5,1.5,True,0.1353352832366127,7.38905609893065
2,0.125,negative,-0.03125,mixed,0.1,2.0,0.027815093633580146,0.0055500626051514694,2.0,inf,inf,True,0.44626032029685964,8.963378140676129
2,0.125,zero,0.0,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.125,zero,0.0,volume_high,0.1,2.0,4.721756319270298e-11,2.926033227811694e-11,0.5,1.0,1.0,True,1.0000097178039962,4.0
2,0.125,zero,0.0,volume_low,0.1,2.0,1.3935915976759361e-08,2.190168077590987e-08,1.0,1.5,2.0,True,0.25,0.9998330607000513
2,0.125,zero,0.0,shape_only,0.1,2.0,4.55294362211589e-08,1.648305960657601e-08,1.0,1.5,2.0,True,0.1353352832366127,7.38905609893065
2,0.125,zero,0.0,mixed,0.1,2.0,0.023278047525850276,0.00464476671537026,2.0,inf,inf,True,0.44626032029685964,8.963378140676129
2,0.125,positive,0.03125,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.125,positive,0.03125,volume_high,0.1,2.0,5.992234319851519e-07,3.7133379071601015e-07,0.5,1.5,2.0,True,1.0010951354977713,4.0
2,0.125,positive,0.03125,volume_low,0.1,2.0,2.9317571149656274e-05,4.607548477729203e-05,1.5,2.0,inf,True,0.25,0.9923621738602035
2,0.125,positive,0.03125,shape_only,0.1,2.0,8.3311952598919e-06,3.0161495388559905e-06,1.0,1.5,inf,True,0.1353352832366127,7.38905609893065
2,0.125,positive,0.03125,mixed,0.1,2.0,0.019273502331249803,0.0038457229721430546,2.0,inf,inf,True,0.44626032029685964,8.963378140676129
2,0.25,negative,-0.0625,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.25,negative,-0.0625,volume_high,0.1,2.0,4.721756319270298e-11,2.926033227811694e-11,0.5,1.0,1.0,True,1.0000097178039962,4.0
2,0.25,negative,-0.0625,volume_low,0.1,2.0,1.3935915976759361e-08,2.190168077590987e-08,1.0,1.5,2.0,True,0.25,0.9998330607000513
2,0.25,negative,-0.0625,shape_only,0.1,2.0,0.0012167423933338029,0.00044049825914269856,1.5,inf,inf,True,0.1353352832366127,7.38905609893065
2,0.25,negative,-0.0625,mixed,0.1,2.0,0.050847498698291416,0.010145815247236028,inf,inf,inf,True,0.44626032029685964,8.963378140676129
2,0.25,zero,0.0,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.25,zero,0.0,volume_high,0.1,2.0,2.530982662829473e-05,1.5684289636528395e-05,1.0,2.0,inf,True,1.0071316322069535,4.0
2,0.25,zero,0.0,volume_low,0.1,2.0,0.0007841054375425927,0.0012322998370794167,2.0,inf,inf,True,0.25,0.9609203604106642
2,0.25,zero,0.0,shape_only,0.1,2.0,0.0019121916860684873,0.0006922723441503593,1.5,inf,inf,True,0.1353352832366127,7.38905609893065
2,0.25,zero,0.0,mixed,0.1,2.0,0.035204624260100514,0.007024526726687248,2.0,inf,inf,True,0.44626032029685964,8.963378140676129
2,0.25,positive,0.0625,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.25,positive,0.0625,volume_high,0.1,2.0,0.0007734588306274048,0.0004793060221095684,1.5,inf,inf,True,1.039848194572847,4.0
2,0.25,positive,0.0625,volume_low,0.1,2.0,0.01399506147408447,0.021994633819248197,inf,inf,inf,True,0.25,0.8418945427490473
2,0.25,positive,0.0625,shape_only,0.1,2.0,0.00366995660890157,0.0013286374389577795,1.5,inf,inf,True,0.1353352832366127,7.38905609893065
2,0.25,positive,0.0625,mixed,0.1,2.0,0.024565607775439258,0.004901679026623318,2.0,inf,inf,True,0.44626032029685964,8.963378140676129
2,0.5,negative,-0.125,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.5,negative,-0.125,volume_high,0.1,2.0,2.530982662829473e-05,1.5684289636528395e-05,1.0,2.0,inf,True,1.0071316322069535,4.0
2,0.5,negative,-0.125,volume_low,0.1,2.0,0.0007841054375425927,0.0012322998370794167,2.0,inf,inf,True,0.25,0.9609203604106642
2,0.5,negative,-0.125,shape_only,0.1,2.0,0.09020740811229366,0.03265786287462659,inf,inf,inf,True,0.1353352832366127,7.38905609893065
2,0.5,negative,-0.125,mixed,0.1,2.0,0.1311609184363245,0.02617108963429616,inf,inf,inf,True,0.38407803711142596,8.963378140676129
2,0.5,zero,0.0,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.5,zero,0.0,volume_high,0.1,2.0,0.004014135027482046,0.0024875261824503533,1.5,inf,inf,True,1.0922964484221278,4.0
2,0.5,zero,0.0,volume_low,0.1,2.0,0.04800036098553284,0.0754373508843474,inf,inf,inf,True,0.25,0.7212994267057213
2,0.5,zero,0.0,shape_only,0.1,2.0,0.07879603351886111,0.028526593453611825,inf,inf,inf,True,0.1353352832366127,7.38905609893065
2,0.5,zero,0.0,mixed,0.1,2.0,0.06996058683426032,0.013959530100395467,inf,inf,inf,True,0.44626032029685964,8.963378140676129
2,0.5,positive,0.125,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,0.5,positive,0.125,volume_high,0.1,2.0,0.021222449633206963,0.013151376014237062,inf,inf,inf,True,1.220406220942446,4.0
2,0.5,positive,0.125,volume_low,0.1,2.0,0.13760308015441147,0.2162569536404933,inf,inf,inf,True,0.25,0.5628358838036529
2,0.5,positive,0.125,shape_only,0.1,2.0,0.06672967145958375,0.024158198376381206,inf,inf,inf,True,0.1353352832366127,7.38905609893065
2,0.5,positive,0.125,mixed,0.1,2.0,0.04335611360443958,0.00865102767549904,2.0,inf,inf,True,0.44626032029685964,8.963378140676129
2,1.0,negative,-0.25,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,1.0,negative,-0.25,volume_high,0.1,2.0,0.004014135027482046,0.0024875261824503533,1.5,inf,inf,True,1.0922964484221278,4.0
2,1.0,negative,-0.25,volume_low,0.1,2.0,0.04800036098553284,0.0754373508843474,inf,inf,inf,True,0.25,0.7212994267057213
2,1.0,negative,-0.25,shape_only,0.1,2.0,0.36790350243177095,0.13319241052303557,inf,inf,inf,True,0.12471640659460145,7.38905609893065
2,1.0,negative,-0.25,mixed,0.1,2.0,0.29847789877457,0.05955655034908848,inf,inf,inf,True,0.35442824511177173,8.963378140676129
2,1.0,zero,0.0,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,1.0,zero,0.0,volume_high,0.1,2.0,0.05076991452936541,0.031461694937497446,inf,inf,inf,True,1.3533611632166551,4.0
2,1.0,zero,0.0,volume_low,0.1,2.0,0.2165627653364215,0.3403499678282026,inf,inf,inf,True,0.25,0.47761732691969544
2,1.0,zero,0.0,shape_only,0.1,2.0,0.287257098731335,0.10399592601588692,inf,inf,inf,True,0.1353352832366127,7.38905609893065
2,1.0,zero,0.0,mixed,0.1,2.0,0.1650038852662854,0.03292391912768987,inf,inf,inf,True,0.44626032029685964,8.963378140676129
2,1.0,positive,0.25,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,1.0,positive,0.25,volume_high,0.1,2.0,0.12963529646938277,0.08033391799965946,inf,inf,inf,True,1.5990366516920649,4.0
2,1.0,positive,0.25,volume_low,0.1,2.0,0.3246177875429934,0.5101692037183226,inf,inf,inf,True,0.25,0.39451195658320515
2,1.0,positive,0.25,shape_only,0.1,2.0,0.24541676944938073,0.08884843685825235,inf,inf,inf,True,0.1353352832366127,7.38905609893065
2,1.0,positive,0.25,mixed,0.1,2.0,0.12460063876212457,0.024862089442574502,inf,inf,inf,True,0.44626032029685964,8.963378140676129
2,2.0,negative,-0.5,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,2.0,negative,-0.5,volume_high,0.1,2.0,0.05076991452936541,0.031461694937497446,inf,inf,inf,True,1.3533611632166551,4.0
2,2.0,negative,-0.5,volume_low,0.1,2.0,0.2165627653364215,0.3403499678282026,inf,inf,inf,True,0.25,0.47761732691969544
2,2.0,negative,-0.5,shape_only,0.1,2.0,0.6314584901545865,0.22860744160630428,inf,inf,inf,True,0.12201346813471549,7.38905609893065
2,2.0,negative,-0.5,mixed,0.1,2.0,0.48204617526647686,0.09618470052794889,inf,inf,inf,True,0.3610452078737967,8.963378140676129
2,2.0,zero,0.0,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,2.0,zero,0.0,volume_high,0.1,2.0,0.21646320453049528,0.1341404524561976,inf,inf,inf,True,1.8095307769405717,4.0
2,2.0,zero,0.0,volume_low,0.1,2.0,0.39046935555714857,0.6136615054546686,inf,inf,inf,True,0.25,0.3550925575442734
2,2.0,zero,0.0,shape_only,0.1,2.0,0.5605849887954806,0.20294904905001812,inf,inf,inf,True,0.1353352832366127,7.38905609893065
2,2.0,zero,0.0,mixed,0.1,2.0,0.37164914118328074,0.07415671605821207,inf,inf,inf,True,0.44626032029685964,8.963378140676129
2,2.0,positive,0.5,mean_only,0.1,2.0,0.06651397323645569,0.0147808829414346,inf,inf,inf,True,1.0,1.0
2,2.0,positive,0.5,volume_high,0.1,2.0,0.3799712598731526,0.23546503818183825,inf,inf,inf,True,2.141458310176521,4.0
2,2.0,positive,0.5,volume_low,0.1,2.0,0.46440825123610807,0.7298638485790452,inf,inf,inf,True,0.25,0.3176718248587466
2,2.0,positive,0.5,shape_only,0.1,2.0,0.5369084788692327,0.1943774224984759,inf,inf,inf,True,0.1353352832366127,7.38905609893065
2,2.0,positive,0.5,mixed,0.1,2.0,0.35678733081574476,0.07119127653633558,inf,inf,inf,True,0.44626032029685964,8.963378140676129
